,Date,deaths_inc
1191767,2021-06-05,2677
1191768,2021-06-06,2427
1191769,2021-06-07,2123
1191770,2021-06-08,2219
1191771,2021-06-09,2177
1191772,2021-06-10,7374
1191773,2021-06-11,4002
1191774,2021-06-12,3303
1191775,2021-06-13,3921
1191776,2021-06-14,2726
1191777,2021-06-15,2542
1191778,2021-06-16,2330
1191779,2021-06-17,1587
1191780,2021-06-18,1647
1191781,2021-06-19,1571
1191782,2021-06-20,1427
1191783,2021-06-21,1167
1191784,2021-06-22,1358
1191785,2021-06-23,1321
1191786,2021-06-24,1329
1191787,2021-06-25,1183
1191788,2021-06-26,1258
1191789,2021-06-27,979
1191790,2021-06-28,907
1191791,2021-06-29,817
1191792,2021-06-30,1005
1191793,2021-07-01,853
1191794,2021-07-02,738
1191795,2021-07-03,955
1191796,2021-07-04,723
1191797,2021-07-05,553
1191798,2021-07-06,930
1191799,2021-07-07,817
1191800,2021-07-08,911
1191801,2021-07-09,1206
1191802,2021-07-10,895
1191803,2021-07-11,724
1191804,2021-07-12,2020
1191805,2021-07-13,622
1191806,2021-07-14,583
1191807,2021-07-15,542
1191808,2021-07-16,560
1191809,2021-07-17,518
1191810,2021-07-18,499
1191811,2021-07-19,374
1191812,2021-07-20,3998
1191813,2021-07-21,507
1191814,2021-07-22,483
1191815,2021-07-23,0
1191816,2021-07-24,1081
1191817,2021-07-25,416
1191818,2021-07-26,415
1191819,2021-07-27,640
1191820,2021-07-28,640
1191821,2021-07-29,555
1191822,2021-07-30,593
1191823,2021-07-31,541
1191824,2021-08-01,422
1191825,2021-08-02,422
1191826,2021-08-03,562
1191827,2021-08-04,533
1191828,2021-08-05,464
1191829,2021-08-06,617
1191830,2021-08-07,491
1191831,2021-08-08,447
1191832,2021-08-09,373
1191833,2021-08-10,497
1191834,2021-08-11,490
1191835,2021-08-12,585
1191836,2021-08-13,478
1191837,2021-08-14,493
1191838,2021-08-15,417
